id,email,nombre,fecha_creacion,contrasena
CU001,luis0@correo.com,Luis Torres,20-11-2025,s123
CU002,ana1@correo.com,Ana García,22-10-2024,s134
CU003,carlos2@correo.com,Carlos Pérez,29-08-2023,s145
CU004,maría3@correo.com,María López,06-12-2022,s123234
CU005,pedro4@correo.com,Pedro Rivas,27-12-2025,s1234561
CU006,lucía5@correo.com,Lucía Mendoza,29-08-2023,s345346456
CU007,juan6@correo.com,Juan Ramírez,05-09-2023,s11234123
CU008,laura7@correo.com,Laura Silva,15-06-2023,s123512
CU009,diego8@correo.com,Diego Ortega,24-10-2024,s12345
CU0010,elena9@correo.com,Elena Salas,13-10-2025,s12345
